hours_sleep,productivity
9.175885,7.6477237
9.405027,7.5708528
5.680046,4.945074
9.715139,8.610141
5.7331376,4.6294937
7.2062674,5.3557115
4.796007,3.9425914
8.55549,6.644202
9.585401,9.398539
3.9323015,2.1233532
9.542187,8.345883
7.1550574,5.253641
9.085831,8.138324
6.974007,3.969998
8.187658,6.8991575
6.0058317,3.7738004
9.1981,8.73345
7.017331,7.7649937
4.8660603,3.8099527
7.392144,7.21901
4.8874216,3.7229145
6.0895452,4.1247478
5.078446,4.4305863
8.821798,6.5412607
3.7372043,3.4998364
4.8864636,4.843133
5.511688,4.7668695
4.3955464,2.8799648
6.830341,5.815918
3.043123,1.9115268
9.660882,7.2480125
3.5268612,1.2047625
9.202096,7.7333527
7.082467,5.5219173
5.363534,3.9292605
8.662825,7.923829
7.045478,6.45833
9.327871,8.406613
6.882619,6.1999855
5.396194,3.8894773
7.440393,6.2935276
5.550872,4.353
7.9730015,8.099643
9.624878,8.727463
8.523209,7.862256
4.9698963,4.7715807
8.520427,7.3046913
7.1262417,6.706396
8.277423,7.2614627
4.366732,1.7353708
3.0353203,1.6544628
5.147738,5.0273485
3.8154202,1.5618079
9.371886,8.609261
7.5081096,6.3292484
7.9497476,5.7515354
7.606914,5.914599
6.439114,5.402163
9.239129,9.258635
4.0132027,2.21301
6.720373,6.91266
4.1111093,3.8782845
7.579232,6.359627
5.294662,3.6838324
7.572457,6.656538
5.770805,3.3391378
9.402871,9.076371
4.4255433,2.8456929
4.412607,2.6791134
4.412481,2.9867692
9.648049,10.32819
7.666379,7.7966704
9.867878,10.091499
3.6115332,2.4084907
3.0284336,2.1260452
3.7617269,2.5432363
4.1455884,2.448397
7.9176407,5.764805
7.7532654,5.5022483
9.408236,8.707848
4.692511,3.553992
4.114009,2.175437
8.357023,6.216637
5.085284,3.125481
8.624233,8.019756
5.669448,4.1769814
8.502161,7.184693
3.780612,2.2917304
4.733726,1.7417961
7.5670676,6.60937
7.2399263,6.695351
5.6076446,5.9189982
8.586243,6.656746
8.879333,5.776499
3.9618933,2.0930276
4.631461,3.7694714
9.704817,8.420708
5.3189864,4.8232255
5.2591925,4.921087
3.1134188,1.3810408
4.495654,2.9649794
7.374313,5.260425
6.038024,4.033672
3.959399,2.029334
6.5820985,5.4887366
4.109215,2.8172965
3.5306118,2.0994198
4.572681,3.6619449
3.4367578,2.5361185
4.2714167,1.432634
9.9986315,9.788198
7.1610622,6.793708
7.578559,4.1678295
3.235605,1.06876
4.2012916,3.7348037
5.335005,4.0467887
7.047299,6.299129
3.4202754,0.7026316
4.9919443,3.0782735
4.40466,3.3252735
6.5096993,5.4922748
5.1976385,4.8104873
